onset	duration	trial_num	trial_type	tone_num	tone_type	frequency	response
133.1706	0.0987492624262813	1	diastole	1	A	1578.5670027440333	coherent
133.3753	0.0987492624262813	1	diastole	2	B	500.0	coherent
133.5807	0.0987492624262813	1	diastole	3	A	1578.5670027440333	coherent
134.112	0.0987492624262813	1	diastole	4	A	1578.5670027440333	coherent
134.3203	0.0987492624262813	1	diastole	5	B	500.0	coherent
134.5294	0.0987492624262813	1	diastole	6	A	1578.5670027440333	coherent
135.0019	0.0987492624262813	1	diastole	7	A	1578.5670027440333	coherent
135.2103	0.0987492624262813	1	diastole	8	B	500.0	coherent
135.4194	0.0987492624262813	1	diastole	9	A	1578.5670027440333	coherent
135.8919	0.0987492624262813	1	diastole	10	A	1578.5670027440333	coherent
136.1003	0.0987492624262813	1	diastole	11	B	500.0	coherent
136.3093	0.0987492624262813	1	diastole	12	A	1578.5670027440333	coherent
136.9259	0.0987492624262813	1	diastole	13	A	1578.5670027440333	coherent
137.1455	0.0987492624262813	1	diastole	14	B	500.0	coherent
137.3659	0.0987492624262813	1	diastole	15	A	1578.5670027440333	coherent
137.8959	0.0987492624262813	1	diastole	16	A	1578.5670027440333	coherent
138.1155	0.0987492624262813	1	diastole	17	B	500.0	coherent
138.3359	0.0987492624262813	1	diastole	18	A	1578.5670027440333	coherent
138.8659	0.0987492624262813	1	diastole	19	A	1578.5670027440333	coherent
139.0855	0.0987492624262813	1	diastole	20	B	500.0	coherent
139.3059	0.0987492624262813	1	diastole	21	A	1578.5670027440333	coherent
139.7801	0.0987492624262813	1	diastole	22	A	1578.5670027440333	coherent
140.0023	0.0987492624262813	1	diastole	23	B	500.0	coherent
140.2251	0.0987492624262813	1	diastole	24	A	1578.5670027440333	coherent
140.6802	0.0987492624262813	1	diastole	25	A	1578.5670027440333	coherent
140.9023	0.0987492624262813	1	diastole	26	B	500.0	coherent
141.1252	0.0987492624262813	1	diastole	27	A	1578.5670027440333	coherent
141.5019	0.0987492624262813	1	diastole	28	A	1578.5670027440333	coherent
141.719	0.0987492624262813	1	diastole	29	B	500.0	coherent
