onset	duration	trial_num	trial_type	tone_num	tone_type	frequency	response
91.8454	0.1131288008182309	1	systole	1	A	1578.5670027440333	coherent
92.0742	0.1131288008182309	1	systole	2	B	500.0	coherent
92.3028	0.1131288008182309	1	systole	3	A	1578.5670027440333	coherent
92.7353	0.1131288008182309	1	systole	4	A	1578.5670027440333	coherent
92.9642	0.1131288008182309	1	systole	5	B	500.0	coherent
93.1928	0.1131288008182309	1	systole	6	A	1578.5670027440333	coherent
93.6745	0.1131288008182309	1	systole	7	A	1578.5670027440333	coherent
93.9059	0.1131288008182309	1	systole	8	B	500.0	coherent
94.137	0.1131288008182309	1	systole	9	A	1578.5670027440333	coherent
94.6045	0.1131288008182309	1	systole	10	A	1578.5670027440333	coherent
94.8359	0.1131288008182309	1	systole	11	B	500.0	coherent
95.067	0.1131288008182309	1	systole	12	A	1578.5670027440333	coherent
95.5145	0.1131288008182309	1	systole	13	A	1578.5670027440333	coherent
95.7459	0.1131288008182309	1	systole	14	B	500.0	coherent
95.977	0.1131288008182309	1	systole	15	A	1578.5670027440333	coherent
96.3453	0.1131288008182309	1	systole	16	A	1578.5670027440333	coherent
96.5742	0.1131288008182309	1	systole	17	B	500.0	coherent
96.8028	0.1131288008182309	1	systole	18	A	1578.5670027440333	coherent
97.2161	0.1131288008182309	1	systole	19	A	1578.5670027440333	coherent
97.4425	0.1131288008182309	1	systole	20	B	500.0	coherent
97.6686	0.1131288008182309	1	systole	21	A	1578.5670027440333	coherent
98.1453	0.1131288008182309	1	systole	22	A	1578.5670027440333	coherent
98.3742	0.1131288008182309	1	systole	23	B	500.0	coherent
98.6028	0.1131288008182309	1	systole	24	A	1578.5670027440333	coherent
99.0653	0.1131288008182309	1	systole	25	A	1578.5670027440333	coherent
99.2942	0.1131288008182309	1	systole	26	B	500.0	coherent
99.5228	0.1131288008182309	1	systole	27	A	1578.5670027440333	coherent
100.0199	0.1131288008182309	1	systole	28	A	1578.5670027440333	coherent
