onset	duration	trial_num	trial_type	tone_num	tone_type	frequency	response
147.1436	0.0842569373780861	1	systole	1	A	1578.5670027440333	coherent
147.313	0.0842569373780861	1	systole	2	B	500.0	coherent
147.4832	0.0842569373780861	1	systole	3	A	1578.5670027440333	coherent
148.0342	0.0842569373780861	1	systole	4	A	1578.5670027440333	coherent
148.2066	0.0842569373780861	1	systole	5	B	500.0	coherent
148.3796	0.0842569373780861	1	systole	6	A	1578.5670027440333	coherent
148.9676	0.0842569373780861	1	systole	7	A	1578.5670027440333	coherent
149.1437	0.0842569373780861	1	systole	8	B	500.0	coherent
149.3205	0.0842569373780861	1	systole	9	A	1578.5670027440333	coherent
149.82	0.0842569373780861	1	systole	10	A	1578.5670027440333	coherent
150.005	0.0842569373780861	1	systole	11	B	500.0	coherent
150.1906	0.0842569373780861	1	systole	12	A	1578.5670027440333	coherent
150.6175	0.0842569373780861	1	systole	13	A	1578.5670027440333	coherent
150.8099	0.0842569373780861	1	systole	14	B	500.0	coherent
151.003	0.0842569373780861	1	systole	15	A	1578.5670027440333	coherent
151.3874	0.0842569373780861	1	systole	16	A	1578.5670027440333	coherent
151.5798	0.0842569373780861	1	systole	17	B	500.0	coherent
151.7729	0.0842569373780861	1	systole	18	A	1578.5670027440333	coherent
152.1574	0.0842569373780861	1	systole	19	A	1578.5670027440333	coherent
152.3498	0.0842569373780861	1	systole	20	B	500.0	coherent
152.5429	0.0842569373780861	1	systole	21	A	1578.5670027440333	coherent
152.9711	0.0842569373780861	1	systole	22	A	1578.5670027440333	coherent
153.1673	0.0842569373780861	1	systole	23	B	500.0	coherent
153.3641	0.0842569373780861	1	systole	24	A	1578.5670027440333	coherent
153.7694	0.0842569373780861	1	systole	25	A	1578.5670027440333	coherent
153.9678	0.0842569373780861	1	systole	26	B	500.0	coherent
154.1668	0.0842569373780861	1	systole	27	A	1578.5670027440333	coherent
154.5493	0.0842569373780861	1	systole	28	A	1578.5670027440333	coherent
154.7478	0.0842569373780861	1	systole	29	B	500.0	coherent
154.9468	0.0842569373780861	1	systole	30	A	1578.5670027440333	coherent
155.3193	0.0842569373780861	1	systole	31	A	1578.5670027440333	coherent
155.5178	0.0842569373780861	1	systole	32	B	500.0	coherent
155.7168	0.0842569373780861	1	systole	33	A	1578.5670027440333	coherent
156.0893	0.0842569373780861	1	systole	34	A	1578.5670027440333	coherent
156.2878	0.0842569373780861	1	systole	35	B	500.0	coherent
156.4868	0.0842569373780861	1	systole	36	A	1578.5670027440333	coherent
164.421	0.0868782561738044	2	diastole	1	A	1578.5670027440333	coherent
164.5919	0.0868782561738044	2	diastole	2	B	500.0	coherent
164.7635	0.0868782561738044	2	diastole	3	A	1578.5670027440333	coherent
165.0906	0.0868782561738044	2	diastole	4	A	1578.5670027440333	coherent
165.2615	0.0868782561738044	2	diastole	5	B	500.0	coherent
165.4331	0.0868782561738044	2	diastole	6	A	1578.5670027440333	coherent
165.7768	0.0868782561738044	2	diastole	7	A	1578.5670027440333	coherent
165.9468	0.0868782561738044	2	diastole	8	B	500.0	coherent
166.1174	0.0868782561738044	2	diastole	9	A	1578.5670027440333	coherent
166.4294	0.0868782561738044	2	diastole	10	A	1578.5670027440333	coherent
166.5965	0.0868782561738044	2	diastole	11	B	500.0	coherent
166.7643	0.0868782561738044	2	diastole	12	A	1578.5670027440333	coherent
167.0977	0.0868782561738044	2	diastole	13	A	1578.5670027440333	coherent
167.2649	0.0868782561738044	2	diastole	14	B	500.0	coherent
167.4326	0.0868782561738044	2	diastole	15	A	1578.5670027440333	coherent
167.7466	0.0868782561738044	2	diastole	16	A	1578.5670027440333	coherent
167.9135	0.0868782561738044	2	diastole	17	B	500.0	coherent
168.081	0.0868782561738044	2	diastole	18	A	1578.5670027440333	coherent
168.4176	0.0868782561738044	2	diastole	19	A	1578.5670027440333	coherent
168.5848	0.0868782561738044	2	diastole	20	B	500.0	coherent
168.7525	0.0868782561738044	2	diastole	21	A	1578.5670027440333	coherent
169.0876	0.0868782561738044	2	diastole	22	A	1578.5670027440333	coherent
169.2547	0.0868782561738044	2	diastole	23	B	500.0	coherent
169.4225	0.0868782561738044	2	diastole	24	A	1578.5670027440333	coherent
169.7576	0.0868782561738044	2	diastole	25	A	1578.5670027440333	coherent
169.9247	0.0868782561738044	2	diastole	26	B	500.0	coherent
170.0925	0.0868782561738044	2	diastole	27	A	1578.5670027440333	coherent
170.4275	0.0868782561738044	2	diastole	28	A	1578.5670027440333	coherent
170.5946	0.0868782561738044	2	diastole	29	B	500.0	coherent
170.7624	0.0868782561738044	2	diastole	30	A	1578.5670027440333	coherent
171.0764	0.0868782561738044	2	diastole	31	A	1578.5670027440333	coherent
171.2434	0.0868782561738044	2	diastole	32	B	500.0	coherent
171.4109	0.0868782561738044	2	diastole	33	A	1578.5670027440333	coherent
171.7886	0.0868782561738044	2	diastole	34	A	1578.5670027440333	coherent
171.9555	0.0868782561738044	2	diastole	35	B	500.0	coherent
172.1231	0.0868782561738044	2	diastole	36	A	1578.5670027440333	coherent
172.4327	0.0868782561738044	2	diastole	37	A	1578.5670027440333	coherent
172.5987	0.0868782561738044	2	diastole	38	B	500.0	coherent
172.7653	0.0868782561738044	2	diastole	39	A	1578.5670027440333	coherent
173.0828	0.0868782561738044	2	diastole	40	A	1578.5670027440333	coherent
173.2487	0.0868782561738044	2	diastole	41	B	500.0	coherent
173.4153	0.0868782561738044	2	diastole	42	A	1578.5670027440333	coherent
176.9597	0.0762801284727174	3	systole	1	A	2180.0224995339627	coherent
177.1123	0.0762801284727174	3	systole	2	B	500.0	coherent
177.2648	0.0762801284727174	3	systole	3	A	2180.0224995339627	coherent
177.6297	0.0762801284727174	3	systole	4	A	2180.0224995339627	coherent
177.7823	0.0762801284727174	3	systole	5	B	500.0	coherent
177.9348	0.0762801284727174	3	systole	6	A	2180.0224995339627	coherent
178.2997	0.0762801284727174	3	systole	7	A	2180.0224995339627	coherent
178.4524	0.0762801284727174	3	systole	8	B	500.0	coherent
178.6048	0.0762801284727174	3	systole	9	A	2180.0224995339627	coherent
179.4198	0.0762801284727174	3	systole	10	A	2180.0224995339627	coherent
179.5724	0.0762801284727174	3	systole	11	B	500.0	coherent
179.7249	0.0762801284727174	3	systole	12	A	2180.0224995339627	coherent
180.5398	0.0762801284727174	3	systole	13	A	2180.0224995339627	coherent
180.6924	0.0762801284727174	3	systole	14	B	500.0	coherent
180.8449	0.0762801284727174	3	systole	15	A	2180.0224995339627	coherent
181.6598	0.0762801284727174	3	systole	16	A	2180.0224995339627	coherent
181.8125	0.0762801284727174	3	systole	17	B	500.0	coherent
181.9649	0.0762801284727174	3	systole	18	A	2180.0224995339627	coherent
182.4628	0.0762801284727174	3	systole	19	A	2180.0224995339627	coherent
182.6216	0.0762801284727174	3	systole	20	B	500.0	coherent
