participant_id	age	sex	hand	weight	height	notes
sub-01	19	M	R	n/a	n/a	n/a
sub-02	19	F	L	n/a	n/a	n/a
sub-03	19	F	R	n/a	n/a	n/a
sub-04	21	F	R	n/a	n/a	n/a
sub-05	20	M	R	n/a	n/a	n/a
sub-06	21	M	R	n/a	n/a	n/a
sub-07	19	M	L	n/a	n/a	n/a
sub-08	20	F	R	n/a	n/a	EEG impedance exceeded 10 kOhms
sub-09	19	M	R	n/a	n/a	n/a
sub-10	19	M	R	n/a	n/a	right earphone briefly fell out during streaming task
sub-11	19	F	R	n/a	n/a	n/a
sub-12	20	M	R	n/a	n/a	n/a
sub-13	19	F	R	n/a	n/a	n/a
sub-14	19	F	R	n/a	n/a	n/a
sub-15	18	M	R	n/a	n/a	n/a
sub-16	21	M	R	n/a	n/a	n/a
sub-17	19	F	R	n/a	n/a	n/a
sub-18	19	M	R	n/a	n/a	n/a
sub-19	21	M	R	n/a	n/a	EEG impedance exceeded 10 kOhms
sub-20	20	F	R	n/a	n/a	ECG noisier than usual but did not prevent R-peak detection
sub-21	20	M	R	n/a	n/a	EEG impedance about 10 kOhms
sub-22	18	M	R	n/a	n/a	n/a
