onset	duration	trial_num	trial_type	tone_num	tone_type	frequency	response
164.842	0.0981294047669507	1	diastole	1	A	1578.5670027440333	coherent
165.0361	0.0981294047669507	1	diastole	2	B	500.0	coherent
165.2297	0.0981294047669507	1	diastole	3	A	1578.5670027440333	coherent
165.6556	0.0981294047669507	1	diastole	4	A	1578.5670027440333	coherent
165.8521	0.0981294047669507	1	diastole	5	B	500.0	coherent
166.0482	0.0981294047669507	1	diastole	6	A	1578.5670027440333	coherent
166.4556	0.0981294047669507	1	diastole	7	A	1578.5670027440333	coherent
166.6521	0.0981294047669507	1	diastole	8	B	500.0	coherent
166.8482	0.0981294047669507	1	diastole	9	A	1578.5670027440333	coherent
167.2354	0.0981294047669507	1	diastole	10	A	1578.5670027440333	coherent
167.4319	0.0981294047669507	1	diastole	11	B	500.0	coherent
167.628	0.0981294047669507	1	diastole	12	A	1578.5670027440333	coherent
168.0554	0.0981294047669507	1	diastole	13	A	1578.5670027440333	coherent
168.2518	0.0981294047669507	1	diastole	14	B	500.0	coherent
168.4479	0.0981294047669507	1	diastole	15	A	1578.5670027440333	coherent
168.8754	0.0981294047669507	1	diastole	16	A	1578.5670027440333	coherent
169.0718	0.0981294047669507	1	diastole	17	B	500.0	coherent
169.2679	0.0981294047669507	1	diastole	18	A	1578.5670027440333	coherent
169.6725	0.0981294047669507	1	diastole	19	A	1578.5670027440333	coherent
169.8701	0.0981294047669507	1	diastole	20	B	500.0	coherent
170.0675	0.0981294047669507	1	diastole	21	A	1578.5670027440333	coherent
170.4725	0.0981294047669507	1	diastole	22	A	1578.5670027440333	coherent
170.6701	0.0981294047669507	1	diastole	23	B	500.0	coherent
170.8675	0.0981294047669507	1	diastole	24	A	1578.5670027440333	coherent
171.2725	0.0981294047669507	1	diastole	25	A	1578.5670027440333	coherent
171.4701	0.0981294047669507	1	diastole	26	B	500.0	coherent
171.6675	0.0981294047669507	1	diastole	27	A	1578.5670027440333	coherent
172.0696	0.0981294047669507	1	diastole	28	A	1578.5670027440333	coherent
172.2686	0.0981294047669507	1	diastole	29	B	500.0	coherent
172.4672	0.0981294047669507	1	diastole	30	A	1578.5670027440333	coherent
172.8397	0.0981294047669507	1	diastole	31	A	1578.5670027440333	coherent
173.0386	0.0981294047669507	1	diastole	32	B	500.0	coherent
173.2372	0.0981294047669507	1	diastole	33	A	1578.5670027440333	coherent
173.6097	0.0981294047669507	1	diastole	34	A	1578.5670027440333	coherent
173.8086	0.0981294047669507	1	diastole	35	B	500.0	coherent
174.0072	0.0981294047669507	1	diastole	36	A	1578.5670027440333	coherent
186.0347	0.1018885769881308	2	systole	1	A	1578.5670027440333	coherent
186.2399	0.1018885769881308	2	systole	2	B	500.0	coherent
186.4447	0.1018885769881308	2	systole	3	A	1578.5670027440333	coherent
186.8554	0.1018885769881308	2	systole	4	A	1578.5670027440333	coherent
187.0606	0.1018885769881308	2	systole	5	B	500.0	coherent
187.2655	0.1018885769881308	2	systole	6	A	1578.5670027440333	coherent
187.6654	0.1018885769881308	2	systole	7	A	1578.5670027440333	coherent
187.8706	0.1018885769881308	2	systole	8	B	500.0	coherent
188.0754	0.1018885769881308	2	systole	9	A	1578.5670027440333	coherent
188.4753	0.1018885769881308	2	systole	10	A	1578.5670027440333	coherent
188.6805	0.1018885769881308	2	systole	11	B	500.0	coherent
188.8854	0.1018885769881308	2	systole	12	A	1578.5670027440333	coherent
189.3053	0.1018885769881308	2	systole	13	A	1578.5670027440333	coherent
189.5105	0.1018885769881308	2	systole	14	B	500.0	coherent
189.7154	0.1018885769881308	2	systole	15	A	1578.5670027440333	coherent
190.1453	0.1018885769881308	2	systole	16	A	1578.5670027440333	coherent
190.3505	0.1018885769881308	2	systole	17	B	500.0	coherent
190.5554	0.1018885769881308	2	systole	18	A	1578.5670027440333	coherent
190.9453	0.1018885769881308	2	systole	19	A	1578.5670027440333	coherent
191.1505	0.1018885769881308	2	systole	20	B	500.0	coherent
191.3554	0.1018885769881308	2	systole	21	A	1578.5670027440333	coherent
191.7453	0.1018885769881308	2	systole	22	A	1578.5670027440333	coherent
191.9505	0.1018885769881308	2	systole	23	B	500.0	coherent
192.1554	0.1018885769881308	2	systole	24	A	1578.5670027440333	coherent
192.5793	0.1018885769881308	2	systole	25	A	1578.5670027440333	coherent
192.7858	0.1018885769881308	2	systole	26	B	500.0	coherent
192.9919	0.1018885769881308	2	systole	27	A	1578.5670027440333	coherent
193.4239	0.1018885769881308	2	systole	28	A	1578.5670027440333	coherent
193.6315	0.1018885769881308	2	systole	29	B	500.0	coherent
193.8388	0.1018885769881308	2	systole	30	A	1578.5670027440333	coherent
194.2439	0.1018885769881308	2	systole	31	A	1578.5670027440333	coherent
194.4515	0.1018885769881308	2	systole	32	B	500.0	coherent
194.6588	0.1018885769881308	2	systole	33	A	1578.5670027440333	coherent
195.0593	0.1018885769881308	2	systole	34	A	1578.5670027440333	coherent
195.2657	0.1018885769881308	2	systole	35	B	500.0	coherent
195.4717	0.1018885769881308	2	systole	36	A	1578.5670027440333	coherent
200.3481	0.1018782439641654	3	diastole	1	A	2180.0224995339627	coherent
200.5519	0.1018782439641654	3	diastole	2	B	500.0	coherent
200.7556	0.1018782439641654	3	diastole	3	A	2180.0224995339627	coherent
201.151	0.1018782439641654	3	diastole	4	A	2180.0224995339627	coherent
201.3535	0.1018782439641654	3	diastole	5	B	500.0	coherent
201.556	0.1018782439641654	3	diastole	6	A	2180.0224995339627	coherent
201.961	0.1018782439641654	3	diastole	7	A	2180.0224995339627	coherent
202.1635	0.1018782439641654	3	diastole	8	B	500.0	coherent
202.366	0.1018782439641654	3	diastole	9	A	2180.0224995339627	coherent
202.8281	0.1018782439641654	3	diastole	10	A	2180.0224995339627	coherent
203.0319	0.1018782439641654	3	diastole	11	B	500.0	coherent
203.2356	0.1018782439641654	3	diastole	12	A	2180.0224995339627	coherent
203.6751	0.1018782439641654	3	diastole	13	A	2180.0224995339627	coherent
203.8801	0.1018782439641654	3	diastole	14	B	500.0	coherent
204.0851	0.1018782439641654	3	diastole	15	A	2180.0224995339627	coherent
204.465	0.1018782439641654	3	diastole	16	A	2180.0224995339627	coherent
204.6701	0.1018782439641654	3	diastole	17	B	500.0	coherent
204.8751	0.1018782439641654	3	diastole	18	A	2180.0224995339627	coherent
205.2921	0.1018782439641654	3	diastole	19	A	2180.0224995339627	coherent
205.4984	0.1018782439641654	3	diastole	20	B	500.0	coherent
205.7046	0.1018782439641654	3	diastole	21	A	2180.0224995339627	coherent
206.1121	0.1018782439641654	3	diastole	22	A	2180.0224995339627	coherent
206.3183	0.1018782439641654	3	diastole	23	B	500.0	coherent
206.5246	0.1018782439641654	3	diastole	24	A	2180.0224995339627	coherent
206.9663	0.1018782439641654	3	diastole	25	A	2180.0224995339627	coherent
207.175	0.1018782439641654	3	diastole	26	B	500.0	coherent
207.3837	0.1018782439641654	3	diastole	27	A	2180.0224995339627	coherent
207.8063	0.1018782439641654	3	diastole	28	A	2180.0224995339627	coherent
208.0151	0.1018782439641654	3	diastole	29	B	500.0	coherent
208.2238	0.1018782439641654	3	diastole	30	A	2180.0224995339627	coherent
208.5651	0.1018782439641654	3	diastole	31	A	2180.0224995339627	coherent
208.7701	0.1018782439641654	3	diastole	32	B	500.0	coherent
208.9751	0.1018782439641654	3	diastole	33	A	2180.0224995339627	coherent
209.3451	0.1018782439641654	3	diastole	34	A	2180.0224995339627	coherent
209.5501	0.1018782439641654	3	diastole	35	B	500.0	coherent
209.7551	0.1018782439641654	3	diastole	36	A	2180.0224995339627	coherent
213.1467	0.1000001773936674	4	diastole	1	A	1987.9452401467304	coherent
213.3467	0.1000001773936674	4	diastole	2	B	500.0	coherent
213.5467	0.1000001773936674	4	diastole	3	A	1987.9452401467304	coherent
213.9571	0.1000001773936674	4	diastole	4	A	1987.9452401467304	coherent
214.157	0.1000001773936674	4	diastole	5	B	500.0	coherent
214.3571	0.1000001773936674	4	diastole	6	A	1987.9452401467304	coherent
214.7675	0.1000001773936674	4	diastole	7	A	1987.9452401467304	coherent
214.9674	0.1000001773936674	4	diastole	8	B	500.0	coherent
215.1675	0.1000001773936674	4	diastole	9	A	1987.9452401467304	coherent
215.5771	0.1000001773936674	4	diastole	10	A	1987.9452401467304	coherent
215.777	0.1000001773936674	4	diastole	11	B	500.0	coherent
215.9771	0.1000001773936674	4	diastole	12	A	1987.9452401467304	coherent
