onset	duration	trial_num	trial_type	tone_num	tone_type	frequency	response
213.3393	0.0787386188167147	1	systole	1	A	1578.5670027440333	coherent
213.4969	0.0787386188167147	1	systole	2	B	500.0	coherent
213.6542	0.0787386188167147	1	systole	3	A	1578.5670027440333	coherent
213.9309	0.0787386188167147	1	systole	4	A	1578.5670027440333	coherent
214.0885	0.0787386188167147	1	systole	5	B	500.0	coherent
214.2458	0.0787386188167147	1	systole	6	A	1578.5670027440333	coherent
214.5209	0.0787386188167147	1	systole	7	A	1578.5670027440333	coherent
214.6785	0.0787386188167147	1	systole	8	B	500.0	coherent
214.8358	0.0787386188167147	1	systole	9	A	1578.5670027440333	coherent
215.1109	0.0787386188167147	1	systole	10	A	1578.5670027440333	coherent
215.2685	0.0787386188167147	1	systole	11	B	500.0	coherent
215.4258	0.0787386188167147	1	systole	12	A	1578.5670027440333	coherent
215.716	0.0787386188167147	1	systole	13	A	1578.5670027440333	coherent
215.8724	0.0787386188167147	1	systole	14	B	500.0	coherent
216.0285	0.0787386188167147	1	systole	15	A	1578.5670027440333	coherent
216.3068	0.0787386188167147	1	systole	16	A	1578.5670027440333	coherent
216.4607	0.0787386188167147	1	systole	17	B	500.0	coherent
216.6142	0.0787386188167147	1	systole	18	A	1578.5670027440333	coherent
216.9068	0.0787386188167147	1	systole	19	A	1578.5670027440333	coherent
217.0607	0.0787386188167147	1	systole	20	B	500.0	coherent
217.2143	0.0787386188167147	1	systole	21	A	1578.5670027440333	coherent
217.4834	0.0787386188167147	1	systole	22	A	1578.5670027440333	coherent
217.6336	0.0787386188167147	1	systole	23	B	500.0	coherent
217.7834	0.0787386188167147	1	systole	24	A	1578.5670027440333	coherent
218.0735	0.0787386188167147	1	systole	25	A	1578.5670027440333	coherent
218.2237	0.0787386188167147	1	systole	26	B	500.0	coherent
218.3735	0.0787386188167147	1	systole	27	A	1578.5670027440333	coherent
218.6636	0.0787386188167147	1	systole	28	A	1578.5670027440333	coherent
218.8138	0.0787386188167147	1	systole	29	B	500.0	coherent
218.9636	0.0787386188167147	1	systole	30	A	1578.5670027440333	coherent
219.2637	0.0787386188167147	1	systole	31	A	1578.5670027440333	coherent
219.4138	0.0787386188167147	1	systole	32	B	500.0	coherent
219.5637	0.0787386188167147	1	systole	33	A	1578.5670027440333	coherent
219.8637	0.0787386188167147	1	systole	34	A	1578.5670027440333	coherent
220.0139	0.0787386188167147	1	systole	35	B	500.0	coherent
220.1637	0.0787386188167147	1	systole	36	A	1578.5670027440333	coherent
220.4537	0.0787386188167147	1	systole	37	A	1578.5670027440333	coherent
220.6038	0.0787386188167147	1	systole	38	B	500.0	coherent
220.7537	0.0787386188167147	1	systole	39	A	1578.5670027440333	coherent
221.0436	0.0787386188167147	1	systole	40	A	1578.5670027440333	coherent
221.1938	0.0787386188167147	1	systole	41	B	500.0	coherent
221.3436	0.0787386188167147	1	systole	42	A	1578.5670027440333	coherent
221.6336	0.0787386188167147	1	systole	43	A	1578.5670027440333	coherent
221.7838	0.0787386188167147	1	systole	44	B	500.0	coherent
221.9336	0.0787386188167147	1	systole	45	A	1578.5670027440333	coherent
222.2236	0.0787386188167147	1	systole	46	A	1578.5670027440333	coherent
222.3737	0.0787386188167147	1	systole	47	B	500.0	coherent
222.5236	0.0787386188167147	1	systole	48	A	1578.5670027440333	coherent
222.8135	0.0787386188167147	1	systole	49	A	1578.5670027440333	coherent
222.9637	0.0787386188167147	1	systole	50	B	500.0	coherent
223.1136	0.0787386188167147	1	systole	51	A	1578.5670027440333	coherent
242.1895	0.0712505972478538	2	diastole	1	A	1578.5670027440333	streaming
242.3321	0.0712505972478538	2	diastole	2	B	500.0	streaming
242.4745	0.0712505972478538	2	diastole	3	A	1578.5670027440333	streaming
242.7315	0.0712505972478538	2	diastole	4	A	1578.5670027440333	streaming
242.8741	0.0712505972478538	2	diastole	5	B	500.0	streaming
243.0165	0.0712505972478538	2	diastole	6	A	1578.5670027440333	streaming
243.2734	0.0712505972478538	2	diastole	7	A	1578.5670027440333	streaming
243.4161	0.0712505972478538	2	diastole	8	B	500.0	streaming
243.5584	0.0712505972478538	2	diastole	9	A	1578.5670027440333	streaming
243.7836	0.0712505972478538	2	diastole	10	A	1578.5670027440333	streaming
243.9227	0.0712505972478538	2	diastole	11	B	500.0	streaming
244.0616	0.0712505972478538	2	diastole	12	A	1578.5670027440333	streaming
244.294	0.0712505972478538	2	diastole	13	A	1578.5670027440333	streaming
244.4314	0.0712505972478538	2	diastole	14	B	500.0	streaming
244.5685	0.0712505972478538	2	diastole	15	A	1578.5670027440333	streaming
244.818	0.0712505972478538	2	diastole	16	A	1578.5670027440333	streaming
244.9544	0.0712505972478538	2	diastole	17	B	500.0	streaming
245.0905	0.0712505972478538	2	diastole	18	A	1578.5670027440333	streaming
245.3409	0.0712505972478538	2	diastole	19	A	1578.5670027440333	streaming
245.476	0.0712505972478538	2	diastole	20	B	500.0	streaming
245.6109	0.0712505972478538	2	diastole	21	A	1578.5670027440333	streaming
245.8909	0.0712505972478538	2	diastole	22	A	1578.5670027440333	streaming
246.0261	0.0712505972478538	2	diastole	23	B	500.0	streaming
246.1609	0.0712505972478538	2	diastole	24	A	1578.5670027440333	streaming
246.4409	0.0712505972478538	2	diastole	25	A	1578.5670027440333	streaming
246.5761	0.0712505972478538	2	diastole	26	B	500.0	streaming
246.7109	0.0712505972478538	2	diastole	27	A	1578.5670027440333	streaming
247.001	0.0712505972478538	2	diastole	28	A	1578.5670027440333	streaming
247.1362	0.0712505972478538	2	diastole	29	B	500.0	streaming
247.271	0.0712505972478538	2	diastole	30	A	1578.5670027440333	streaming
247.561	0.0712505972478538	2	diastole	31	A	1578.5670027440333	streaming
247.6962	0.0712505972478538	2	diastole	32	B	500.0	streaming
247.831	0.0712505972478538	2	diastole	33	A	1578.5670027440333	streaming
248.1311	0.0712505972478538	2	diastole	34	A	1578.5670027440333	streaming
248.2662	0.0712505972478538	2	diastole	35	B	500.0	streaming
248.4011	0.0712505972478538	2	diastole	36	A	1578.5670027440333	streaming
248.7011	0.0712505972478538	2	diastole	37	A	1578.5670027440333	streaming
248.8362	0.0712505972478538	2	diastole	38	B	500.0	streaming
248.9711	0.0712505972478538	2	diastole	39	A	1578.5670027440333	streaming
249.2764	0.0712505972478538	2	diastole	40	A	1578.5670027440333	streaming
249.4126	0.0712505972478538	2	diastole	41	B	500.0	streaming
249.5484	0.0712505972478538	2	diastole	42	A	1578.5670027440333	streaming
249.8963	0.0712505972478538	2	diastole	43	A	1578.5670027440333	streaming
250.0376	0.0712505972478538	2	diastole	44	B	500.0	streaming
250.1787	0.0712505972478538	2	diastole	45	A	1578.5670027440333	streaming
250.4866	0.0712505972478538	2	diastole	46	A	1578.5670027440333	streaming
250.628	0.0712505972478538	2	diastole	47	B	500.0	streaming
250.7691	0.0712505972478538	2	diastole	48	A	1578.5670027440333	streaming
251.077	0.0712505972478538	2	diastole	49	A	1578.5670027440333	streaming
251.2184	0.0712505972478538	2	diastole	50	B	500.0	streaming
251.3595	0.0712505972478538	2	diastole	51	A	1578.5670027440333	streaming
251.6737	0.0712505972478538	2	diastole	52	A	1578.5670027440333	streaming
251.8163	0.0712505972478538	2	diastole	53	B	500.0	streaming
251.9586	0.0712505972478538	2	diastole	54	A	1578.5670027440333	streaming
262.158	0.0706381741911172	3	diastole	1	A	1169.7126981694591	streaming
262.3003	0.0706381741911172	3	diastole	2	B	500.0	streaming
262.443	0.0706381741911172	3	diastole	3	A	1169.7126981694591	streaming
262.7478	0.0706381741911172	3	diastole	4	A	1169.7126981694591	streaming
262.8902	0.0706381741911172	3	diastole	5	B	500.0	streaming
263.0328	0.0706381741911172	3	diastole	6	A	1169.7126981694591	streaming
263.3376	0.0706381741911172	3	diastole	7	A	1169.7126981694591	streaming
263.48	0.0706381741911172	3	diastole	8	B	500.0	streaming
263.6226	0.0706381741911172	3	diastole	9	A	1169.7126981694591	streaming
263.9077	0.0706381741911172	3	diastole	10	A	1169.7126981694591	streaming
264.0501	0.0706381741911172	3	diastole	11	B	500.0	streaming
264.1927	0.0706381741911172	3	diastole	12	A	1169.7126981694591	streaming
264.4677	0.0706381741911172	3	diastole	13	A	1169.7126981694591	streaming
264.61	0.0706381741911172	3	diastole	14	B	500.0	streaming
