onset	duration	trial_num	trial_type	tone_num	tone_type	frequency	response
124.2103	0.0818739814567379	1	systole	1	A	1578.5670027440333	coherent
124.3742	0.0818739814567379	1	systole	2	B	500.0	coherent
124.5378	0.0818739814567379	1	systole	3	A	1578.5670027440333	coherent
124.9484	0.0818739814567379	1	systole	4	A	1578.5670027440333	coherent
125.1122	0.0818739814567379	1	systole	5	B	500.0	coherent
125.2758	0.0818739814567379	1	systole	6	A	1578.5670027440333	coherent
125.6864	0.0818739814567379	1	systole	7	A	1578.5670027440333	coherent
125.8503	0.0818739814567379	1	systole	8	B	500.0	coherent
126.0139	0.0818739814567379	1	systole	9	A	1578.5670027440333	coherent
126.4347	0.0818739814567379	1	systole	10	A	1578.5670027440333	coherent
126.5986	0.0818739814567379	1	systole	11	B	500.0	coherent
126.7622	0.0818739814567379	1	systole	12	A	1578.5670027440333	coherent
127.2026	0.0818739814567379	1	systole	13	A	1578.5670027440333	coherent
127.3742	0.0818739814567379	1	systole	14	B	500.0	coherent
127.5455	0.0818739814567379	1	systole	15	A	1578.5670027440333	coherent
127.9423	0.0818739814567379	1	systole	16	A	1578.5670027440333	coherent
128.1139	0.0818739814567379	1	systole	17	B	500.0	coherent
128.2852	0.0818739814567379	1	systole	18	A	1578.5670027440333	coherent
128.7193	0.0818739814567379	1	systole	19	A	1578.5670027440333	coherent
128.9032	0.0818739814567379	1	systole	20	B	500.0	coherent
129.0868	0.0818739814567379	1	systole	21	A	1578.5670027440333	coherent
129.4512	0.0818739814567379	1	systole	22	A	1578.5670027440333	coherent
129.6351	0.0818739814567379	1	systole	23	B	500.0	coherent
129.8187	0.0818739814567379	1	systole	24	A	1578.5670027440333	coherent
130.1792	0.0818739814567379	1	systole	25	A	1578.5670027440333	coherent
130.3631	0.0818739814567379	1	systole	26	B	500.0	coherent
130.5467	0.0818739814567379	1	systole	27	A	1578.5670027440333	coherent
130.8892	0.0818739814567379	1	systole	28	A	1578.5670027440333	coherent
131.0731	0.0818739814567379	1	systole	29	B	500.0	coherent
131.2567	0.0818739814567379	1	systole	30	A	1578.5670027440333	coherent
131.5992	0.0818739814567379	1	systole	31	A	1578.5670027440333	coherent
131.783	0.0818739814567379	1	systole	32	B	500.0	coherent
131.9666	0.0818739814567379	1	systole	33	A	1578.5670027440333	coherent
132.3093	0.0818739814567379	1	systole	34	A	1578.5670027440333	coherent
132.4932	0.0818739814567379	1	systole	35	B	500.0	coherent
132.6768	0.0818739814567379	1	systole	36	A	1578.5670027440333	coherent
133.0195	0.0818739814567379	1	systole	37	A	1578.5670027440333	coherent
133.2033	0.0818739814567379	1	systole	38	B	500.0	coherent
133.3869	0.0818739814567379	1	systole	39	A	1578.5670027440333	coherent
133.7296	0.0818739814567379	1	systole	40	A	1578.5670027440333	coherent
133.9135	0.0818739814567379	1	systole	41	B	500.0	coherent
134.0971	0.0818739814567379	1	systole	42	A	1578.5670027440333	coherent
151.7633	0.0825035000452771	2	diastole	1	A	1578.5670027440333	coherent
151.9285	0.0825035000452771	2	diastole	2	B	500.0	coherent
152.0933	0.0825035000452771	2	diastole	3	A	1578.5670027440333	coherent
152.4233	0.0825035000452771	2	diastole	4	A	1578.5670027440333	coherent
152.5885	0.0825035000452771	2	diastole	5	B	500.0	coherent
152.7533	0.0825035000452771	2	diastole	6	A	1578.5670027440333	coherent
153.1063	0.0825035000452771	2	diastole	7	A	1578.5670027440333	coherent
153.2737	0.0825035000452771	2	diastole	8	B	500.0	coherent
153.4409	0.0825035000452771	2	diastole	9	A	1578.5670027440333	coherent
153.7763	0.0825035000452771	2	diastole	10	A	1578.5670027440333	coherent
153.9437	0.0825035000452771	2	diastole	11	B	500.0	coherent
154.1109	0.0825035000452771	2	diastole	12	A	1578.5670027440333	coherent
154.41	0.0825035000452771	2	diastole	13	A	1578.5670027440333	coherent
154.5764	0.0825035000452771	2	diastole	14	B	500.0	coherent
154.7425	0.0825035000452771	2	diastole	15	A	1578.5670027440333	coherent
155.0595	0.0825035000452771	2	diastole	16	A	1578.5670027440333	coherent
155.2259	0.0825035000452771	2	diastole	17	B	500.0	coherent
155.392	0.0825035000452771	2	diastole	18	A	1578.5670027440333	coherent
155.7091	0.0825035000452771	2	diastole	19	A	1578.5670027440333	coherent
155.8755	0.0825035000452771	2	diastole	20	B	500.0	coherent
156.0416	0.0825035000452771	2	diastole	21	A	1578.5670027440333	coherent
156.3824	0.0825035000452771	2	diastole	22	A	1578.5670027440333	coherent
156.5476	0.0825035000452771	2	diastole	23	B	500.0	coherent
156.7125	0.0825035000452771	2	diastole	24	A	1578.5670027440333	coherent
157.0629	0.0825035000452771	2	diastole	25	A	1578.5670027440333	coherent
157.228	0.0825035000452771	2	diastole	26	B	500.0	coherent
157.3929	0.0825035000452771	2	diastole	27	A	1578.5670027440333	coherent
157.7324	0.0825035000452771	2	diastole	28	A	1578.5670027440333	coherent
157.8976	0.0825035000452771	2	diastole	29	B	500.0	coherent
158.0625	0.0825035000452771	2	diastole	30	A	1578.5670027440333	coherent
158.4096	0.0825035000452771	2	diastole	31	A	1578.5670027440333	coherent
158.5759	0.0825035000452771	2	diastole	32	B	500.0	coherent
158.742	0.0825035000452771	2	diastole	33	A	1578.5670027440333	coherent
159.1082	0.0825035000452771	2	diastole	34	A	1578.5670027440333	coherent
